1542
3	-1	0.000552181
3	-2	0.000368121
3	-3	0.00018406
3	-5	0.00018406
3	-6	0.00018406
3	-7	0.00018406
3	.0	0.00128842
3	.1	0.0290815
3	.2	0.0349715
3	.3	0.030554
3	.4	0.0290815
3	.5	0.0351555
3	.6	0.0294497
3	.7	0.0309221
3	.8	0.0290815
3	.9	0.0290815
3	/3	0.00018406
3	/4	0.00018406
3	00	0.116326
3	01	0.00625805
3	02	0.00552181
3	03	0.00570587
3	04	0.00386527
3	05	0.00515369
3	06	0.00423339
3	07	0.00368121
3	08	0.00681023
3	09	0.00496963
3	0s	0.00239278
3	10	0.00809866
3	11	0.00570587
3	12	0.00533775
3	13	0.00515369
3	14	0.00533775
3	15	0.00736242
3	16	0.00423339
3	17	0.00386527
3	18	0.00239278
3	19	0.00533775
3	20	0.00920302
3	21	0.00294497
3	22	0.00423339
3	23	0.00625805
3	24	0.00404933
3	25	0.0338671
3	26	0.00478557
3	27	0.00441745
3	28	0.00460151
3	29	0.00423339
3	30	0.0088349
3	31	0.00441745
3	32	0.0176698
3	33	0.00423339
3	34	0.00368121
3	35	0.00828272
3	36	0.00478557
3	37	0.00368121
3	38	0.00552181
3	39	0.00460151
3	40	0.0088349
3	41	0.00386527
3	42	0.00478557
3	43	0.00773054
3	44	0.00386527
3	45	0.00846678
3	46	0.00607399
3	47	0.00423339
3	48	0.00515369
3	49	0.00368121
3	50	0.0200626
3	51	0.00478557
3	52	0.00625805
3	53	0.00699429
3	54	0.00368121
3	55	0.00773054
3	56	0.00552181
3	57	0.00331309
3	58	0.00423339
3	59	0.00460151
3	60	0.0097552
3	61	0.00368121
3	62	0.00496963
3	63	0.00404933
3	64	0.00386527
3	65	0.00901896
3	66	0.00478557
3	67	0.00294497
3	68	0.00570587
3	69	0.00257685
3	70	0.00773054
3	71	0.00276091
3	72	0.00460151
3	73	0.00368121
3	74	0.00423339
3	75	0.0346033
3	76	0.00478557
3	77	0.00349715
3	78	0.00441745
3	79	0.00368121
3	80	0.0110436
3	81	0.00460151
3	82	0.00386527
3	83	0.00294497
3	84	0.00276091
3	85	0.0097552
3	86	0.00478557
3	87	0.00496963
3	88	0.00625805
3	89	0.00349715
3	90	0.00865084
3	91	0.00441745
3	92	0.00276091
3	93	0.00257685
3	94	0.00368121
3	95	0.00938708
3	96	0.00239278
3	97	0.00404933
3	98	0.00257685
3	99	0.00460151
3	:1	0.00018406
3	ck	0.00018406
3	ed	0.000552181
3	ee	0.00018406
3	en	0.00110436
3	hs	0.00018406
3	ld	0.000552181
3	le	0.00018406
3	mm	0.000552181
3	nd	0.00018406
3	ne	0.00018406
3	nt	0.00018406
3	on	0.00018406
3	rd	0.00018406
3	re	0.00018406
3	st	0.00018406
3	ty	0.00239278
3	ur	0.000368121
3	us	0.00018406
3	ve	0.000552181
6	ai	0.0289855
6	am	0.0144928
