0	34184
1	558
2	23947
3	36568
4	81842
5	863
6	234
7	98554
8	61217
9	3238
10	1947
11	36
12	9803
13	132935
14	59856
15	91466
16	2673
17	370
18	8701
19	17436
20	8407
21	30970
22	1768
23	451
24	2662
25	58
26	22357
27	97
28	21215
29	21769
30	14288
31	18242
32	5428
33	9676
34	4294
35	2363
36	168
37	2143
38	142
39	7372
40	39478
41	48727
42	4772
43	1376
44	1366
45	7092
46	6919
47	39832
48	14442
49	19843
50	302
51	494
52	127
53	38
54	411
55	313157
56	1315
57	94694
58	2420
59	2641
60	9444
61	47
62	95404
63	39832
64	27925
65	198
66	2027
67	342
68	494
69	146022
70	59
71	2063
72	7355
73	391
74	174
75	0
76	0
77	0
