0	0	0.00175373	0
1	0	0.00746269	0
2	8.35178e-05	0.000541925	0
3	0.11789	0.00160305	0.0296915
4	1.22187e-05	0.00522755	0
5	0	0.027668	0
6	0.260684	0.0528846	0.0327869
7	0.000111614	0.00153287	0
8	0.0894686	0.0517978	0.571846
9	0.0274861	0.00192864	0.179775
10	0.0349255	0.00414692	0.147059
11	0	0	0
12	0.00010201	0.00162145	0
13	0.0352353	0.00873435	0.202178
14	0.0464448	0.00771059	0.0809353
15	0.0768045	0.997767	0.0442705
16	0.0714553	1	0.0209424
17	0.0027027	0.00322581	0
18	0	0	0
19	0.000344116	0.0170681	0.166667
20	0	0.00305966	0
21	0.019535	0.00265319	0.0396694
22	0.0050905	0.000604595	0.111111
23	0	0.00255102	0
24	0	0.00113336	0
25	0.0517241	0	0
26	0	0.000408998	0
27	0.237113	0.258065	0.0434783
28	0.0326184	0.0044946	0.0289017
29	0.0265515	0.0005483	0.017301
30	0.0786674	0.00273608	0.0151246
31	0.0465409	0.00246927	0.0235571
32	0.0291083	0.0042101	0.0253165
33	0.0600455	0.00288825	0.00344234
34	0.000232883	0.00070738	0
35	0	0.0131025	0
36	0	0	0
37	0	0.022995	0
38	0	0	0
39	0.000406945	1	0
40	0	0	0
41	0	0	0
42	0	0	0
43	0	0	0
44	0	0	0
45	0.000141004	0	1
46	0	0	0
